# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-03-22 00:54:13.565
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002075,0.1646,0.2178,1.5548,1.58
0.017767,0.2199,0.0489,1.4773,1.49
0.020656,0.3541,-0.1533,0.7357,0.83
0.030812,0.4200,-0.2463,0.1424,0.51
0.047361,0.1850,-0.4354,0.1636,0.50
0.051013,-0.1896,-0.5843,0.7670,0.98
0.068629,-0.3458,-0.5661,1.2963,1.46
0.071195,-0.3617,-0.5924,1.3505,1.52
0.081200,-0.4090,-0.5240,1.0069,1.21
0.096980,-0.6360,-0.3754,0.4639,0.87
0.101129,-0.7768,-0.2797,0.0238,0.83
0.114481,-0.4654,-0.1705,0.0176,0.50
0.121756,0.0028,-0.1261,-0.1270,0.18
0.132263,0.2659,-0.0329,-1.3339,1.36
0.147690,0.3727,0.2904,-2.9855,3.02
0.151967,0.4370,0.6273,-3.9233,4.00
0.165718,0.5058,0.8237,-3.7634,3.89
0.171936,0.7480,0.8198,-2.6997,2.92
0.182254,1.1744,0.8220,-1.0038,1.75
0.198341,1.4139,0.8370,0.7714,1.82
0.202111,1.3197,0.7003,1.8773,2.40
0.214562,1.0926,0.5592,2.3151,2.62
0.222285,0.8235,0.4158,2.0789,2.27
0.232356,0.5708,0.3207,1.0096,1.20
0.246547,0.4557,0.2056,0.1749,0.53
0.252392,0.4980,0.0034,0.1708,0.53
0.263214,0.5261,-0.2137,0.0548,0.57
0.272654,0.4526,-0.4188,-0.3090,0.69
0.282745,0.3447,-0.5941,-0.4300,0.81
0.297252,0.3088,-0.6137,-0.3761,0.78
0.302864,0.3135,-0.3339,-0.0565,0.46
0.313708,0.2019,-0.1670,0.4451,0.52
0.323078,-0.2087,-0.4532,0.5771,0.76
0.333107,-0.7182,-0.7147,-0.1611,1.03
0.348100,-0.7476,-0.4791,-1.0565,1.38
0.353251,-0.2591,-0.1263,-0.8576,0.90
0.364345,0.1048,-0.2313,0.0504,0.26
0.373669,0.1870,-0.6159,0.4974,0.81
0.383713,0.3320,-0.8837,0.2259,0.97
0.398242,0.4394,-0.7494,0.0083,0.87
0.403689,0.2615,-0.4905,-0.1260,0.57
0.414883,-0.0399,-0.3808,-0.5036,0.63
0.424233,-0.0932,-0.1160,-1.2915,1.30
0.434027,0.0816,0.3351,-2.7120,2.73
0.448470,0.1132,0.7181,-3.5253,3.60
0.454048,-0.2972,0.5722,-2.7356,2.81
0.464876,-1.0607,0.0793,-1.0651,1.51
0.474278,-1.7756,-0.0368,1.5198,2.34
0.487703,-2.1958,0.4123,4.6829,5.19
0.499565,-1.9794,0.8346,5.4562,5.86
0.515601,0.7268,0.4060,2.7580,2.88
0.524788,0.8721,0.3205,0.9088,1.30
0.534833,0.6216,0.2227,0.0672,0.66
0.548116,0.8553,0.1501,-0.2626,0.91
0.555102,1.2862,0.3117,-0.3650,1.37
0.565572,1.4241,0.5760,0.0700,1.54
0.575104,1.4384,0.6538,1.1654,1.96
0.585056,1.1065,0.4525,2.7291,2.98
0.598275,0.5308,0.0358,3.4345,3.48
0.605226,0.8808,0.0566,2.1963,2.37
0.615734,1.8194,0.6261,0.2302,1.94
0.631900,2.3978,1.0671,-0.8204,2.75
0.635689,2.6898,1.0920,-0.8503,3.03
0.649936,3.0691,1.0984,-0.1070,3.26
0.656074,3.6277,1.2390,0.9452,3.95
0.666019,3.9196,0.9785,1.7571,4.41
0.682300,3.8420,0.3460,2.0914,4.39
0.685770,4.1926,-0.0263,1.7964,4.56
0.701997,5.0232,0.0922,1.4158,5.22
0.705978,5.8441,0.1091,1.7289,6.10
0.716610,6.5695,-0.1572,2.1710,6.92
0.732915,6.1371,-0.9488,2.7362,6.79
0.736026,4.3949,-2.2340,3.6437,6.13
0.749234,1.5233,-3.3714,4.0953,5.52
0.756473,-2.6349,-4.1028,4.2955,6.50
0.766679,-7.2200,-4.4678,4.1461,9.45
0.782502,-10.9843,-4.5574,2.7805,12.21
0.786564,-13.6421,-4.5593,0.5481,14.39
0.799761,-15.0352,-4.4331,-1.2668,15.73
0.807235,-14.4414,-3.4253,-3.0445,15.15
0.816824,-13.0144,-2.9415,-4.8974,14.21
0.832751,-11.9460,-4.0421,-4.2532,13.31
0.836774,-10.8366,-5.7812,-0.5559,12.29
0.849426,-9.5534,-7.7094,3.9368,12.89
0.857094,-8.6053,-9.2741,8.6342,15.32
0.871860,-7.5665,-10.1950,13.0563,18.21
0.887569,-5.5764,-10.0763,16.0721,19.77
0.887681,-2.1574,-8.7265,18.4630,20.54
0.899549,2.8889,-6.3566,20.3429,21.51
0.907720,8.5648,-2.9275,18.7430,20.81
0.917792,13.5993,1.5157,12.1535,18.30
0.933090,16.1650,5.7224,3.2361,17.45
0.937742,14.8438,7.6913,-4.9475,17.43
0.949855,10.2271,7.1077,-10.9259,16.57
0.959268,4.9301,5.0067,-13.3886,15.12
0.968141,2.7805,2.8028,-11.8734,12.51
0.983554,4.6455,1.9753,-7.4651,9.01
0.988221,7.8731,2.8968,-2.6044,8.78
0.999587,10.3150,4.4145,0.1024,11.22
1.008547,11.4669,5.1289,-0.1351,12.56
1.018554,12.0800,5.2907,-2.3653,13.40
1.033270,11.8821,5.0351,-5.0998,13.88
1.038514,9.7593,3.6253,-7.1218,12.61
1.049601,6.6838,1.8422,-7.9299,10.53
1.058802,3.9603,0.1225,-8.0999,9.02
1.068840,1.9463,-2.0227,-8.0876,8.56
1.083664,-0.4297,-4.9679,-7.7535,9.22
1.088620,-4.4595,-9.1093,-6.3234,11.95
1.100017,-10.4018,-13.5224,-3.1479,17.35
1.109643,-17.8962,-17.4815,1.8326,25.08
1.119275,-24.6213,-20.3895,7.8556,32.92
1.133794,-28.7495,-22.1127,13.0318,38.54
1.139259,-31.5362,-23.7959,15.3430,42.38
1.150426,-33.5569,-26.1855,15.0788,45.16
1.159320,-33.0682,-28.4798,14.4551,45.97
1.169606,-28.9146,-29.6176,13.6874,43.60
1.183256,-20.9003,-29.5947,12.4557,38.31
1.189948,-7.8663,-27.0289,10.6310,30.09
1.200370,9.6893,-19.5172,7.9253,23.19
1.214833,25.5595,-5.4399,4.6355,26.54
1.227047,40.6408,10.1790,2.8680,41.99
1.235396,52.5844,17.1444,4.8772,55.52
1.240128,50.1022,17.2472,8.2366,53.62
1.250665,40.0823,17.0163,10.8311,44.87
1.274250,35.4464,17.5409,12.0559,41.35
1.290562,42.8989,17.2816,2.0219,46.29
1.302440,38.4659,12.0076,-1.2498,40.32
1.315615,30.6075,5.4943,-4.1287,31.37
1.320744,21.6676,-1.0719,-6.9712,22.79
1.333425,14.0085,-6.7628,-9.9008,18.44
1.340860,7.8130,-11.9095,-12.5990,19.02
1.351075,1.5915,-17.5095,-14.5986,22.85
1.367228,-6.5614,-23.4122,-15.8180,29.01
1.371334,-16.5808,-28.8887,-14.9152,36.50
1.383683,-27.7533,-33.1968,-11.6431,44.81
1.391695,-37.8266,-34.9160,-8.0415,52.10
1.401650,-44.5043,-35.2157,-5.1387,56.98
1.417419,-47.2888,-35.9110,-2.6734,59.44
